id,industry,state,request_date,employee_count,business_new,business_type,location,other_loans,loan_amount,insured_amount,default_status
3677075007,Construction,NV,5-Oct-09,35,New,0,Rural,N,"$25,000.00 ","$22,500.00 ",1
3847785001,Manufacturing,ME,8-Jan-10,11,New,0,Rural,N,"$10,000.00 ","$10,000.00 ",0
3753095005,Trading,CA,16-Nov-09,17,New,0,Rural,N,"$25,000.00 ","$22,500.00 ",1
3897595001,Healthcare,TX,10-Feb-10,1,Existing,0,Rural,N,"$63,000.00 ","$56,700.00 ",0
3957165004,Consulting,SC,11-Mar-10,7,New,0,Rural,N,"$98,000.00 ","$49,000.00 ",0
4068015010,Trading,CA,7-May-10,8,New,0,Rural,N,"$1,130,000.00 ","$1,130,000.00 ",0
3859995002,Others,VT,19-Jan-10,1,New,0,Rural,N,"$10,000.00 ","$8,500.00 ",0
4191775010,Trading,CO,4-Aug-10,5,New,0,Rural,Y,"$50,000.00 ","$42,500.00 ",0
4089905005,Trading,NY,20-May-10,5,Existing,0,Rural,Y,"$30,000.00 ","$7,500.00 ",0
4090665002,Trading,AL,20-May-10,2,New,0,Rural,N,"$35,000.00 ","$35,000.00 ",0
3728065005,Administration,WI,2-Nov-09,9,New,0,Rural,N,"$29,837.00 ","$27,000.00 ",1
4141625002,Consulting,CT,24-Jun-10,2,New,0,Rural,N,"$50,000.00 ","$25,000.00 ",0
3864245005,Trading,ME,21-Jan-10,1,New,0,Rural,N,"$35,000.00 ","$35,000.00 ",0
4223655004,Hotel,MI,25-Aug-10,3,Existing,0,Rural,Y,"$44,856.00 ","$12,500.00 ",0
3779825008,Healthcare,AZ,21-Nov-09,1,Existing,0,Rural,N,"$621,000.00 ","$558,900.00 ",1
3709865003,Manufacturing,NC,22-Oct-09,6,New,1,Rural,N,"$22,000.00 ","$22,000.00 ",0
4196925006,Trading,ID,6-Aug-10,1,New,0,Rural,Y,"$41,289.00 ","$9,000.00 ",0
4046795009,Trading,MO,26-Apr-10,9,New,0,Rural,N,"$35,000.00 ","$35,000.00 ",1
